"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"mii-lm-seltene","mii-lm-seltene","","","",0,*,"","","","null {[]} {[]}
","MII LM SE","MII LogicalModel Modul Seltene Erkraknungen","","","","","","","","","",,,,,"",,,,"Element",0,*,"ele-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-lm-seltene.id","mii-lm-seltene.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"mii-lm-seltene.extension","mii-lm-seltene.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-seltene.anamneseUndDiagnostik","mii-lm-seltene.anamneseUndDiagnostik","","","",0,*,"","","","BackboneElement {[]} {[]}
","Diagnose","Diagnose","","","","","","","","","",,,,,"",,,,"mii-lm-seltene.anamneseUndDiagnostik",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-lm-seltene.anamneseUndDiagnostik.id","mii-lm-seltene.anamneseUndDiagnostik.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"mii-lm-seltene.anamneseUndDiagnostik.extension","mii-lm-seltene.anamneseUndDiagnostik.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-seltene.anamneseUndDiagnostik.modifierExtension","mii-lm-seltene.anamneseUndDiagnostik.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-seltene.anamneseUndDiagnostik.untersuchungsdatum","mii-lm-seltene.anamneseUndDiagnostik.untersuchungsdatum","","","",0,1,"","","","date {[]} {[]}
","Untersuchungsdatum","Datum der durchgeführten Untersuchung eines SE-Patienten.","","","","","","","","","",,,,,"",,,,"mii-lm-seltene.anamneseUndDiagnostik.untersuchungsdatum",0,1,"",""
"mii-lm-seltene.anamneseUndDiagnostik.untersuchungsanlass","mii-lm-seltene.anamneseUndDiagnostik.untersuchungsanlass","","","",0,1,"","","","code {[]} {[]}
","Untersuchungsanlass","Grund für den Besuch des SE-Patienten.","","","","","","","","","",,,,,"",,,,"mii-lm-seltene.anamneseUndDiagnostik.untersuchungsanlass",0,1,"",""
"mii-lm-seltene.anamneseUndDiagnostik.phaenotypisierung","mii-lm-seltene.anamneseUndDiagnostik.phaenotypisierung","","","",0,*,"","","","BackboneElement {[]} {[]}
","Phänotypisierung","Phänotypisierung","","","","","","","","","",,,,,"",,,,"mii-lm-seltene.anamneseUndDiagnostik.phaenotypisierung",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"mii-lm-seltene.anamneseUndDiagnostik.phaenotypisierung.id","mii-lm-seltene.anamneseUndDiagnostik.phaenotypisierung.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"mii-lm-seltene.anamneseUndDiagnostik.phaenotypisierung.extension","mii-lm-seltene.anamneseUndDiagnostik.phaenotypisierung.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-seltene.anamneseUndDiagnostik.phaenotypisierung.modifierExtension","mii-lm-seltene.anamneseUndDiagnostik.phaenotypisierung.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"mii-lm-seltene.anamneseUndDiagnostik.phaenotypisierung.hpoTerm","mii-lm-seltene.anamneseUndDiagnostik.phaenotypisierung.hpoTerm","","","",0,*,"","","","code {[]} {[]}
","HPO-Term des Symptoms","Phänotypisierung des SE-Patienten mittels HPO-Term (Human Phenotype Ontology) oder anderer Terminologien (SNOMED CT, ICD-10, LOINC).","","","","","","","","","",,,,,"",,,,"mii-lm-seltene.anamneseUndDiagnostik.phaenotypisierung.hpoTerm",0,*,"",""
"mii-lm-seltene.anamneseUndDiagnostik.phaenotypisierung.hpoExcluded","mii-lm-seltene.anamneseUndDiagnostik.phaenotypisierung.hpoExcluded","","","",0,1,"","","","boolean {[]} {[]}
","HPO-Term ausgeschlossen","Gibt an, ob das HPO-Merkmal explizit ausgeschlossen wurde (negated finding). Abgeleitet aus valueCodeableConcept: LOINC LA9634-2 'Absent' = true, LA9633-4 'Present' = false. Folgt HL7 Phenomics IG Muster.","","","","","","","","","",,,,,"",,,,"mii-lm-seltene.anamneseUndDiagnostik.phaenotypisierung.hpoExcluded",0,1,"",""
"mii-lm-seltene.anamneseUndDiagnostik.phaenotypisierung.hpoStatus","mii-lm-seltene.anamneseUndDiagnostik.phaenotypisierung.hpoStatus","","","",0,1,"","","","code {[]} {[]}
","Status HPO-Term","Status oder Schweregrad des Phänotyps (Present/Absent/Severity).","","","","","","","","","",,,,,"",,,,"mii-lm-seltene.anamneseUndDiagnostik.phaenotypisierung.hpoStatus",0,1,"",""
