URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://fhir.de/ValueSet/bfarm/ops,1.5.4,active,,OpsVS,OPS ValueSet,"OPS ValueSet","StructureDefinition/mii-pr-seltene-therapieempfehlung-nicht-medikamentoes","de.basisprofil.r4"
http://hl7.org/fhir/ValueSet/body-site,4.0.1,draft,"2.16.840.1.113883.4.642.3.141",SNOMEDCTBodyStructures,SNOMED CT Body Structures,"This value set includes all codes from [SNOMED CT](http://snomed.info/sct) where concept is-a 442083009 (Anatomical or acquired body site (body structure)).","StructureDefinition/mii-pr-seltene-therapieempfehlung-nicht-medikamentoes,StructureDefinition/mii-pr-seltene-hueftumfang,StructureDefinition/mii-pr-seltene-taillenumfang,StructureDefinition/mii-pr-seltene-bodymassindex,StructureDefinition/mii-pr-seltene-consanguinity,StructureDefinition/mii-pr-seltene-icf-assessment,StructureDefinition/mii-pr-seltene-clinical-diagnosis,StructureDefinition/mii-pr-seltene-symptom-condition,StructureDefinition/mii-pr-seltene-gestationsalter,StructureDefinition/mii-pr-seltene-geburtslaenge,StructureDefinition/mii-pr-seltene-therapie-durchgefuehrt,StructureDefinition/mii-pr-seltene-hpo-assessment,StructureDefinition/mii-pr-seltene-genetic-diagnosis,StructureDefinition/mii-pr-seltene-geburtsgewicht,StructureDefinition/mii-pr-seltene-kopfumfang,StructureDefinition/mii-pr-seltene-studieneinschluss-anfrage,StructureDefinition/mii-pr-seltene-blutgruppe","SCT"
http://hl7.org/fhir/ValueSet/clinicalimpression-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.1046",ClinicalImpressionStatus,Clinical Impression Status,"Codes that reflect the current state of a clinical impression within its overall lifecycle.","StructureDefinition/mii-pr-seltene-clinical-impression","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/condition-clinical,4.0.1,draft,"2.16.840.1.113883.4.642.3.164",ConditionClinicalStatusCodes,Condition Clinical Status Codes,"Preferred value set for Condition Clinical Status.","StructureDefinition/mii-pr-seltene-clinical-diagnosis,StructureDefinition/mii-pr-seltene-symptom-condition,StructureDefinition/mii-pr-seltene-genetic-diagnosis","THO"
http://hl7.org/fhir/ValueSet/condition-ver-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.166",ConditionVerificationStatus,ConditionVerificationStatus,"The verification status to support or decline the clinical status of the condition or diagnosis.","StructureDefinition/mii-pr-seltene-clinical-diagnosis,StructureDefinition/mii-pr-seltene-symptom-condition,StructureDefinition/mii-pr-seltene-genetic-diagnosis","THO"
http://hl7.org/fhir/ValueSet/observation-methods,4.0.1,draft,"2.16.840.1.113883.4.642.3.395",ObservationMethods,Observation Methods,"Observation Method codes from [SNOMED CT](http://snomed.info/sct) where concept is-a 272394005 (Technique (qualifier value)) or is-a 129264002 (Action (qualifier value)) or is-a 386053000 (Evaluation procedure(procedure))","StructureDefinition/mii-pr-seltene-gestationsalter,StructureDefinition/mii-pr-seltene-geburtslaenge,StructureDefinition/mii-pr-seltene-hueftumfang,StructureDefinition/mii-pr-seltene-taillenumfang,StructureDefinition/mii-pr-seltene-hpo-assessment,StructureDefinition/mii-pr-seltene-geburtsgewicht,StructureDefinition/mii-pr-seltene-bodymassindex,StructureDefinition/mii-pr-seltene-kopfumfang,StructureDefinition/mii-pr-seltene-consanguinity,StructureDefinition/mii-pr-seltene-icf-assessment,StructureDefinition/mii-pr-seltene-blutgruppe","SCT"
http://hl7.org/fhir/ValueSet/procedure-code,4.0.1,draft,"2.16.840.1.113883.4.642.3.427",ProcedureCodes(SNOMEDCT),Procedure Codes (SNOMED CT),"Procedure Code: All SNOMED CT procedure codes.","StructureDefinition/mii-pr-seltene-therapieempfehlung-nicht-medikamentoes,StructureDefinition/mii-pr-seltene-studieneinschluss-anfrage,StructureDefinition/mii-pr-seltene-therapieplan","SCT"
https://www.medizininformatik-initiative.de/fhir/ext/modul-seltene/ValueSet/mii-vs-seltene-blutgruppe,2027.0.0-ballot.rc1,active,,MII_VS_Seltene_Blutgruppe,MII VS SE Blutgruppe,"ValueSet für Blutgruppen (AB0 und Rhesusfaktor) basierend auf LOINC Answer List für 882-1","StructureDefinition/mii-pr-seltene-blutgruppe","SCT,LOINC"
https://www.medizininformatik-initiative.de/fhir/ext/modul-seltene/ValueSet/mii-vs-seltene-clinical-diagnosis-category,2027.0.0-ballot.rc1,retired,,MII_VS_Seltene_ClinicalDiagnosisCategory,MII VS SE Clinical Diagnosis Category (retired),"RETIRED. Nicht verwenden. Das ValueSet war zur Kategorisierung klinischer Diagnosen gedacht, beantwortet aber die falsche Frage: Condition.category bezeichnet in FHIR die Rolle der Condition im Datensatz, nicht die Art der Krankheit. Die Krankheitsart gehoert in Condition.code.",,"SCT"
https://www.medizininformatik-initiative.de/fhir/ext/modul-seltene/ValueSet/mii-vs-seltene-consanguinity,2027.0.0-ballot.rc1,active,,MII_VS_Seltene_Consanguinity,MII VS Seltene Erkrankungen Consanguinity,"ValueSet zur Angabe der Blutsverwandtschaft der Eltern (Consanguinity): Ja / Nein / Unbekannt / Nicht erfasst (SNOMED CT), entsprechend dem Consanguinity Value Set aus RD-CDM v2.0.0.","StructureDefinition/mii-pr-seltene-consanguinity","SCT"
https://www.medizininformatik-initiative.de/fhir/ext/modul-seltene/ValueSet/mii-vs-seltene-empfehlung-status-begruendung,2027.0.0-ballot.rc1,active,,MII_VS_Seltene_Empfehlung_StatusBegruendung,MII VS SE Empfehlung Status Begründung,"ValueSet für Begründung bei fehlender Empfehlung","StructureDefinition/mii-pr-seltene-therapieplan","Internal"
